Symbol,Company Name,Market Capitalization,Sector,Industry,Dividend Yield,Beta
QMCO,Quantum Corp,$181.2M,Information Technology,"Technology Hardware, Storage & Peripherals",--,2.3
QMDT,"Quick-Med Technologies, Inc.",$746.9K,Health Care,Life Sciences Tools & Services,--,-1.1
QMED,"QMed, Inc.",$8.5K,,,--,--
QMIS,QMIS Finance Securities Corp,$4.3M,,,--,--
QNBC,QNB Corp,$96.9M,Financials,Banks,4.95%,0.5
QNST,QuinStreet Inc,$598.5M,Communication Services,Interactive Media & Services,--,1.1
QNTA,Quanta Inc,$7.7M,,,--,--
QNTO,Quaint Oak Bancorp Inc,$21.9M,Financials,Thrifts & Mortgage Finance,3.27%,0.3
QOIL,Quest Oil Corp,$852.2K,,,--,--
QPRC,Quest Patent Research Corp,$3.7M,Industrials,Professional Services,--,-0.5
QPTFF,QUEST PHARMATECH INC,$19.7M,Health Care,Biotechnology,--,2.3
QPWR,Q2Earth Inc,$912.0K,Materials,Chemicals,--,1.6
QQQX,Nuveen Nasdaq 100 Dynamic Overwrite Fund,$970.2M,,,6.38%,1.1
QRHC,Quest Resource Holding Corp,$21.9M,Industrials,Commercial Services & Supplies,--,1.5
QRSM,QRS Music Technologies Inc,$3.9M,,,--,--
QRTEA,Qurate Retail Inc,$3.7B,Consumer Discretionary,Internet & Direct Marketing Retail,--,1.3
QRTEB,QURATE RETAIL INC,$272.4M,Consumer Discretionary,Internet & Direct Marketing Retail,--,1.3
QRVO,Qorvo Inc,$13.5B,Information Technology,Semiconductors & Semiconductor Equipment,--,1.4
QSCGF,QSC AG NAMEN AKT,$150.5M,,,2.72%,0.8
QSEP,QS Energy Inc,$10.9M,Energy,Energy Equipment & Services,--,0.6
QSMG,Quest Management Inc,$1.2M,,,--,--
QSPW,Qpay Blockchain Corp,$637.9K,Information Technology,Semiconductors & Semiconductor Equipment,--,-1
QSR,RESTAURANT BRANDS INTL INC,$26.5B,Consumer Discretionary,"Hotels, Restaurants & Leisure",3.60%,1.4
QSYSQ,Quad Systems Corporation,$.0K,,,--,--
QTCI,Quantum Capital Inc,$219.8K,Consumer Staples,Personal Products,--,3.9
QTMM,Quantum Materials Corp,$12.5M,Information Technology,Semiconductors & Semiconductor Equipment,--,1.7
QTNT,Quotient Ltd,$664.1M,Health Care,Health Care Equipment & Supplies,--,2.6
QTRX,Quanterix Corp,$849.6M,Health Care,Life Sciences Tools & Services,--,--
QTS,QTS Realty Trust Inc,$4.1B,Real Estate,Equity Real Estate Investment Trusts (REITs),2.77%,0.5
QTS-A,QTS Realty Trust Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),6.55%,--
QTS-B,QTS Realty Trust Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),4.30%,--
QTT,Qutoutiao Inc - ADR,$808.5M,Communication Services,Interactive Media & Services,--,--
QTWO,Q2 Holdings Inc,$5.0B,Information Technology,Software,--,1.6
QTXB,Quantrx Biomedical Corporation,$448.6K,Health Care,Health Care Equipment & Supplies,--,0.8
QUAD,"Quad/Graphics, Inc.",$167.2M,Industrials,Commercial Services & Supplies,18.40%,1.8
QUBT,Quantum Computing Inc,$19.4M,,,--,3.9
QUIK,QuickLogic Corporation,$40.8M,Information Technology,Semiconductors & Semiconductor Equipment,--,1.9
QUMU,Qumu Corp,$66.4M,Information Technology,Software,--,1.3
QUOT,Quotient Technology Inc,$706.1M,Consumer Discretionary,Internet & Direct Marketing Retail,--,0.7
QUPPF,WATCHSTONE GROUP PLC SHS NEW,$25.8M,,,--,-0.4
QURE,Uniqure NV,$1.8B,Health Care,Biotechnology,--,1.2
QURT,Quarta-Rad Inc,$7.3M,,,--,--
QUTIF,QUESTOR TECHNOLOGY INC,$29.2M,Energy,Energy Equipment & Services,--,1.5
QUTR,Quture International Inc,$5.0M,Health Care,Health Care Technology,--,2.6
QYBX,Qian Yuan Baixing Inc,$502.0K,,,--,-2.3
QZMRF,QUARTZ MOUNTAIN RESOURCES,$3.6M,Materials,Metals & Mining,--,1.1
R,"Ryder System, Inc.",$2.3B,Industrials,Road & Rail,5.24%,2.1
RACE,FERRARI NV,$33.8B,Consumer Discretionary,Automobiles,0.67%,0.5
RAD,Rite Aid Corporation,$849.7M,Consumer Staples,Food & Staples Retailing,--,0.9
RADA,Rada Electronic Industries Ltd,$264.2M,Industrials,Aerospace & Defense,--,1.1
RAEWF,Pima Zinc Corp,$2.8M,,,--,--
RAFI,Regency Affiliates Inc,$20.1M,Financials,Diversified Financial Services,6.24%,0.7
RAGL,RA Global Services Inc,$7.9K,,,--,--
RAHGF,Roan Holdings Group Co Ltd,$1.3M,Financials,Consumer Finance,--,--
RAIFF,RAIFFEISEN BK INTL AG SHS,$6.0B,,,6.34%,1.3
RAIL,"FreightCar America, Inc.",$20.4M,Industrials,Machinery,--,1.8
RAIO,RadioIO Inc,$35.0K,Communication Services,Entertainment,--,-2
RAMP,Liveramp Holdings Inc,$3.1B,Information Technology,IT Services,--,1.4
RAND,Rand Capital Corp,$28.0M,Financials,Capital Markets,--,0.3
RAPT,Rapt Therapeutics Inc,$609.1M,Health Care,Biotechnology,--,--
RARE,Ultragenyx Pharmaceutical Inc,$4.7B,Health Care,Biotechnology,--,2.2
RASP,Rasna Therapeutics Inc,$2.1M,Health Care,Biotechnology,--,--
RATHF,RATHDOWNEY RESOURCES LTD,$10.7M,Materials,Metals & Mining,--,-0.9
RAVE,Rave Restaurant Group Inc,$9.7M,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,1.2
RAVN,"Raven Industries, Inc.",$828.5M,Industrials,Industrial Conglomerates,2.27%,1.4
RAYT,Rayont Inc,$921.1K,,,--,--
RBA,Ritchie Bros. Auctioneers Inc,$4.8B,Industrials,Commercial Services & Supplies,1.78%,0.8
RBB,RBB Bancorp,$262.1M,Financials,Banks,1.82%,--
RBBN,Ribbon Communications Inc,$610.9M,Information Technology,Communications Equipment,--,1
RBC,Regal Beloit Corp,$3.8B,Industrials,Electrical Equipment,1.31%,1.4
RBCAA,"Republic Bancorp, Inc. KY",$654.7M,Financials,Banks,3.75%,0.6
RBCC,Rainbow Coral Corp,$3.2K,Health Care,Life Sciences Tools & Services,--,--
RBCL,RBC Life Sciences Inc.,$272.2K,Consumer Staples,Personal Products,--,0.8
RBCN,"Rubicon Technology, Inc.",$20.1M,Information Technology,Semiconductors & Semiconductor Equipment,--,0.6
RBKB,Rhinebeck Bancorp Inc,$72.6M,Financials,Thrifts & Mortgage Finance,--,--
RBMNF,RUGBY MINING LTD,$13.1M,Materials,Metals & Mining,--,2
RBMTF,RAMBLER METALS AND MNG PUB LTD SHS,$777.9K,,,--,1.8
RBNC,Reliant Bancorp Inc,$247.6M,Financials,Banks,2.71%,1.1
RBNW,Renewable Energy and Power Inc,$.9K,,,--,-0.1
RBTK,Zhen Ding Resources Inc,$159.9M,Materials,Metals & Mining,--,--
RBYC,Ruby Creek Resources Inc,$14.3K,Materials,Metals & Mining,--,--
RBZHF,Reebonz Holding Ltd,$550.1K,Consumer Discretionary,Internet & Direct Marketing Retail,--,--
RC,Ready Capital Corp,$458.5M,Financials,Mortgage Real Estate Investment Trusts (REITs),12.20%,1
RCAR,RenovaCare Inc,$261.4M,Health Care,Biotechnology,--,2.7
RCAT,Red Cat Holdings Inc,$19.7M,Information Technology,Software,--,0.6
RCCC,Rural Cellular Corporation,$733.6M,,,--,--
RCCMF,NIPPON DRAGON RESOURCES INC,$5.7M,Materials,Metals & Mining,--,2.8
RCDOF,RICARDO PLC SHS,$560.8M,,,--,1.3
RCDTF,RECORDATI INDUSTRIA CHIMICA EF SHS POST RAGGR,$11.5B,,,1.96%,0.2
RCG,Renn Fund Inc,$7.7M,,,--,0.7
RCHA,Rich Pharmaceuticals Inc,$376.8K,Health Care,Biotechnology,--,0.2
RCHN,Rouchon Industries Inc,$1.2M,,,--,-0.7
RCHR,"ArcherDX, Inc",--,,,--,--
RCI,Rogers Communications Inc. (USA),$16.2B,Communication Services,Wireless Telecommunication Services,3.63%,0.3
RCIAF,ROGERS COMMUNICATIONS  -CL B,$4.5B,Communication Services,Wireless Telecommunication Services,3.63%,0.3
RCII,Rent-A-Center Inc,$1.5B,Consumer Discretionary,Specialty Retail,4.14%,1.5
RCIT,Reelcause Inc,$3.6M,Communication Services,Interactive Media & Services,--,5
RCKE,"Rock Energy Resources, Inc.",$137.3K,Materials,Metals & Mining,--,1.5
RCKT,Rocket Pharmaceuticals Inc,$1.4B,Health Care,Biotechnology,--,2.2
RCKTF,ROCK TECH LINTHIUM INC,$16.1M,Materials,Metals & Mining,--,2.7
RCKY,Rocky Brands Inc,$135.5M,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",2.96%,0.6
RCL,Royal Caribbean Cruises Ltd,$10.6B,Consumer Discretionary,"Hotels, Restaurants & Leisure",6.06%,2.5
RCM,R1 RCM Inc,$1.6B,Health Care,Health Care Providers & Services,--,0.6
RCMH,"Reach Messaging Holdings, Inc.",$.0K,,,--,--
RCMT,R C M Technologies Inc,$19.0M,Industrials,Professional Services,--,1.5
RCON,"Recon Technology, Ltd.",$8.7M,Energy,Energy Equipment & Services,--,3.1
RCPIQ,Rock Creek Pharmaceuticals Inc,$306.8K,Health Care,Pharmaceuticals,--,3.3
RCRT,Recruiter.Com Group Inc,$8.5M,Industrials,Professional Services,--,-1.3
RCS,"PIMCO Strategic Income Fund, Inc",$280.1M,,,9.55%,0.8
RCTFF,Rochester Resources Ltd,$874.7K,Materials,Metals & Mining,--,1.7
RCTUF,REEF CASINO TRUST UNITS,$67.2M,,,7.07%,0.7
RCUS,Arcus Biosciences Inc,$1.3B,Health Care,Biotechnology,--,--
RCZRF,ARMOR MINERALS INC,$26.0M,Materials,Metals & Mining,--,-0.3
RDAR,Raadr Inc,$9.2K,Information Technology,Software,--,--
RDCM,RADCOM Ltd.,$123.0M,Information Technology,Communications Equipment,--,0.7
RDCO,Redefy Corp,$12.3K,,,--,--
RDEIF,RED ELECTRICA CORPORACION SA ACCIONES DESDOBL,$10.5B,,,6.10%,0.3
RDEXF,RED PINE EXPLORATION INC,$18.7M,Materials,Metals & Mining,--,2.2
RDFN,Redfin Corp,$4.1B,Real Estate,Real Estate Management & Development,--,--
RDGA,Ridgefield Acquisition Corp.,$3.2M,,,--,--
RDGC,Redwood Green Corp,$21.6M,,,--,--
RDGL,Vivos Inc,$6.3M,,,--,1.3
RDI,"Reading International, Inc.",$93.3M,Communication Services,Entertainment,--,1.6
RDIB,READING INTL INC  -CL A,$29.4M,Communication Services,Entertainment,--,1.6
RDLCF,REDLINE COMMUNICATIONS GROUP,$10.4M,Information Technology,Communications Equipment,--,0.8
RDLEF,Radical Elastomers Inc,--,,,--,--
RDML,Red Mile Entertainment Inc,$32.5K,Communication Services,Entertainment,--,--
RDMR,Road Marshall Inc,--,,,--,--
RDN,Radian Group Inc,$2.7B,Financials,Thrifts & Mortgage Finance,3.55%,1.6
RDNT,RadNet Inc.,$808.7M,Health Care,Health Care Providers & Services,--,1.7
RDS.A,Royal Dutch Shell plc (ADR),$66.5B,Energy,"Oil, Gas & Consumable Fuels",3.91%,0.8
RDS.B,ROYAL DUTCH SHELL PLC,$57.0B,Energy,"Oil, Gas & Consumable Fuels",4.13%,0.8
RDSMY,Koninklijke DSM N.V. (ADR),$25.7B,Materials,Chemicals,1.80%,1
RDUS,Radius Health Inc,$589.6M,Health Care,Biotechnology,--,1.1
RDVA,RDVA Inc,$519.6K,,,--,--
RDVT,Red Violet Inc,$172.7M,Industrials,Professional Services,--,--
RDVWF,RadView Software Ltd.,$348.9K,Information Technology,Software,--,6.7
RDWR,Radware Ltd.,$1.2B,Information Technology,Communications Equipment,--,0.9
RDY,Dr.Reddy's Laboratories Ltd (ADR),$9.0B,Health Care,Pharmaceuticals,0.52%,0.5
RE,Everest Re Group Ltd,$8.9B,Financials,Insurance,2.77%,0.5
REAC,REAC Group Inc,$5.3M,Communication Services,Interactive Media & Services,--,--
REAL,RealReal Inc,$1.2B,Consumer Discretionary,Internet & Direct Marketing Retail,--,--
REBL,Rebel Group Inc,$206.1M,Communication Services,Entertainment,--,--
RECAF,Reconnaissance Energy (Africa) Ltd,$39.7M,Energy,"Oil, Gas & Consumable Fuels",--,2.5
REDFY,Rediff.com India Limited (ADR),$1.2M,Consumer Discretionary,Internet & Direct Marketing Retail,--,3
REDU,RISE Education Cayman Ltd (ADR),$187.7M,Consumer Discretionary,Diversified Consumer Services,--,--
REED,"Reed's, Inc.",$68.3M,Consumer Staples,Beverages,--,1.6
REFG,Medical Cannabis Payment Solutions,$3.8M,,,--,1.1
REFR,"Research Frontiers, Inc.",$100.5M,Information Technology,"Electronic Equipment, Instruments & Components",--,1.3
REG,Regency Centers Corp,$6.9B,Real Estate,Equity Real Estate Investment Trusts (REITs),5.75%,0.9
REGI,Renewable Energy Group Inc,$1.0B,Energy,"Oil, Gas & Consumable Fuels",--,1.4
REGN,Regeneron Pharmaceuticals Inc,$64.5B,Health Care,Biotechnology,--,0.6
REGX,"Red Trail Energy, LLC",$38.1M,Energy,"Oil, Gas & Consumable Fuels",--,--
REHB,Channel Holdings Inc,$1.9K,Materials,Metals & Mining,--,2.5
REI,Ring Energy Inc,$80.2M,Energy,"Oil, Gas & Consumable Fuels",--,2.6
REKR,Rekor Systems Inc,$102.3M,Industrials,Professional Services,--,--
RELI,Reliance Global Group Inc,$62.4M,Financials,Insurance,--,0.2
RELL,"Richardson Electronics, Ltd.",$54.5M,Information Technology,"Electronic Equipment, Instruments & Components",5.62%,0.6
RELT,Reliant Holdings Inc,$1.0M,,,--,--
RELV,"Reliv International, Inc",$6.6M,Consumer Staples,Personal Products,--,0.3
RELX,Relx PLC (ADR),$40.9B,Industrials,Professional Services,2.43%,0.6
REMI,"Remedent, Inc.",$3.0M,Health Care,Health Care Equipment & Supplies,--,-0.2
REMYF,REMY COINTREAU S A SHS,$8.1B,,,0.73%,0.3
RENN,Renren Inc,$63.7M,Consumer Discretionary,Specialty Retail,--,2.3
RENU,Renuen Corp,$198.4K,,,--,--
REOS,ReoStar Energy Corporation,$403.7K,Energy,"Oil, Gas & Consumable Fuels",--,0.3
REPH,Recro Pharma Inc,$100.4M,Health Care,Pharmaceuticals,--,0.8
REPL,Replimune Group Inc,$794.5M,Health Care,Biotechnology,--,--
REPO,National Asset Recovery Corp,$915.4K,Industrials,Commercial Services & Supplies,--,--
REPYY,Repsol SA (ADR),$13.0B,Energy,"Oil, Gas & Consumable Fuels",--,1
RES,"RPC, Inc.",$708.2M,Energy,Energy Equipment & Services,--,2.1
RESI,Front Yard Residential Corp,$468.1M,Real Estate,Equity Real Estate Investment Trusts (REITs),--,0.5
RESN,Resonant Inc,$123.4M,Information Technology,Communications Equipment,--,2.6
RESS,Renewable Energy Solution Systems Inc,$2.2M,Information Technology,Semiconductors & Semiconductor Equipment,--,1.2
RESY,"Reconditioned Systems, Inc.",$4.8M,,,--,--
RETA,Reata Pharmaceuticals Inc,$5.2B,Health Care,Pharmaceuticals,--,2
RETC,12 Retech Corp,$179.7K,,,--,--
RETO,ReTo Eco-Solutions Inc,$23.2M,Materials,Construction Materials,--,--
REV,Revlon Inc,$381.7M,Consumer Staples,Personal Products,--,0.9
REVG,Rev Group Inc,$403.9M,Industrials,Machinery,3.20%,2.8
REX,REX American Resources Corp,$429.0M,Energy,"Oil, Gas & Consumable Fuels",--,1.4
REXHF,REX INTL HLDG LTD SHS,$105.2M,,,--,2.8
REXN,"Rexahn Pharmaceuticals, Inc.",$11.7M,Health Care,Biotechnology,--,1
REXOF,RIDE ON EXPRESS CO LTD COM,$27.0B,,,--,0.5
REXR,Rexford Industrial Realty Inc,$5.2B,Real Estate,Equity Real Estate Investment Trusts (REITs),2.10%,0.6
REXR-A,Rexford Industrial Realty Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),5.77%,--
REXR-B,Rexford Industrial Realty Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),5.76%,--
REXR-C,Rexford Industrial Realty Inc,--,Real Estate,Equity Real Estate Investment Trusts (REITs),5.45%,--
REYN,Reynolds Consumer Products Inc,$6.9B,,,1.83%,--
REZI,Resideo Technologies Inc,$1.7B,Industrials,Building Products,--,--
RF,Regions Financial Corp,$10.6B,Financials,Banks,5.74%,1.7
RFCS,"Refocus Group, Inc.",$2.3M,Health Care,Health Care Equipment & Supplies,--,0.4
RFI,Cohen & Steers Total Return Real. Fd Inc,$315.2M,,,7.98%,1
RFIL,"RF Industries, Ltd.",$44.5M,Information Technology,"Electronic Equipment, Instruments & Components",--,1.1
RFL,Rafael Holdings Inc,$226.7M,Real Estate,Real Estate Management & Development,--,--
RFLXF,REDFLEX HOLDINGS LIMITED SHS,$40.3M,,,--,1.8
RFMK,Medigreen Holdings Corp,$.0K,Consumer Staples,Tobacco,--,--
RFNS,Reliant Financial Service Corp,$88.1K,Financials,Thrifts & Mortgage Finance,--,2.9
RFP,Resolute Forest Products Inc,$242.3M,Materials,Paper & Forest Products,--,2.9
RGA,Reinsurance Group of America Inc,$6.0B,Financials,Insurance,3.20%,1.1
RGBD,Regional Brands Inc,$12.8M,Industrials,Trading Companies & Distributors,--,--
RGBOQ,"ReGen Biologics, Inc.",$25.4K,Health Care,Biotechnology,--,0.1
RGBP,Regen BioPharma Inc,$114.3K,,,--,-0.4
RGCO,RGC Resources Inc.,$187.0M,Utilities,Gas Utilities,3.02%,-0.5
RGCTF,REDSTAR GOLD CORP,$21.2M,Materials,Metals & Mining,--,0.8
RGDFF,REUNION GOLD CORP,$34.6M,Materials,Metals & Mining,--,1.1
RGDXQ,"Response Genetics, Inc.",$116.4K,Health Care,Life Sciences Tools & Services,--,0.5
RGEN,Repligen Corporation,$7.1B,Health Care,Life Sciences Tools & Services,--,1.1
RGGI,Resgreen Group International Inc,$153.3K,Energy,"Oil, Gas & Consumable Fuels",--,-0.4
RGIN,Regenicin Inc,$1.6M,,,--,0.7
RGLD,"Royal Gold, Inc (USA)",$8.8B,Materials,Metals & Mining,0.83%,0.8
RGLG,UHF Logistics Group Inc,$730.9K,Information Technology,Communications Equipment,--,3.5
RGLS,Regulus Therapeutics Inc,$21.8M,Health Care,Biotechnology,--,2.1
RGLSF,REGULUS RESOURCES INC,$73.3M,Materials,Metals & Mining,--,1.4
RGMP,Regnum Corp,$4.3M,,,--,--
RGNP,Reign Resources Corporation,$488.4K,,,--,-0.3
RGNX,Regenxbio Inc,$1.4B,Health Care,Biotechnology,--,1.1
RGOZF,RANGE ENERGY RES INC NEW COM,$85.6K,,,--,0.1
RGP,"Resources Connection, Inc.",$363.2M,Industrials,Professional Services,4.73%,1
RGR,Sturm Ruger & Company Inc,$1.3B,Consumer Discretionary,Leisure Products,1.01%,0.4
RGRLF,STAR PHOENIX GROUP LTD SHS,$2.1M,,,--,--
RGRNF,REGIS RES LTD SHS,$2.1B,,,2.52%,0.7
RGRX,RegeneRx Biopharmaceuticals Inc,$53.4M,Health Care,Biotechnology,--,0.8
RGS,Regis Corporation,$291.0M,Consumer Discretionary,Diversified Consumer Services,--,2.6
RGSEQ,"Real Goods Solar, Inc.",$482.5K,Industrials,Electrical Equipment,--,0
RGSG,China Ivy School Inc,$3.7M,Financials,Capital Markets,--,--
RGST,Rogue Station Companies Inc,$847.2K,Energy,"Oil, Gas & Consumable Fuels",--,-3.8
RGT,Royce Global Value Trust Inc,$131.6M,,,0.48%,1.4
RGUS,REGI U.S. Inc,$3.8M,Industrials,Machinery,--,0.7
RH,RH,$5.5B,Consumer Discretionary,Specialty Retail,--,2.6
RHDGF,Retail Holdings NV,$5.0M,Consumer Discretionary,Specialty Retail,--,-0.3
RHE,Regional Health Properties Inc,$2.3M,Health Care,Health Care Providers & Services,--,0.1
RHE-A,Regional Health Properties Inc,--,Health Care,Health Care Providers & Services,--,--
RHI,Robert Half International Inc.,$6.2B,Industrials,Professional Services,2.54%,1.6
RHKJF,RHOEN-KLINIKUM AG ORD,$1.4B,,,1.56%,0.2
RHNO,"Rhino Resource Partners, L.P.",$1.2M,Energy,"Oil, Gas & Consumable Fuels",--,-0.1
RHP,Ryman Hospitality Properties Inc,$1.8B,Real Estate,Equity Real Estate Investment Trusts (REITs),11.53%,1.4
RHUHF,RICHELIEU HARDWARE LTD,$1.4B,Industrials,Trading Companies & Distributors,0.88%,1.1
RHWI,River Hawk Aviation Inc,$50.1K,Industrials,Airlines,--,--
RIBS,Southern Concepts Restaurant Group Inc,$252.0K,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,1.4
RIBT,RiceBran Technologies,$34.9M,Consumer Staples,Food Products,--,0.6
RICK,RCI Hospitality Holdings Inc,$107.3M,Consumer Discretionary,"Hotels, Restaurants & Leisure",1.04%,1.4
RICOF,RICOH CO LTD ORD,$5.8B,,,--,0.7
RICOY,Ricoh Co Ltd (ADR),$5.5B,Information Technology,"Technology Hardware, Storage & Peripherals",--,0.9
RIF,RMR Real Estate Income Fund,$117.1M,,,3.43%,1.3
RIG,Transocean LTD,$1.3B,Energy,Energy Equipment & Services,--,2.5
RIGH,RightSmile Inc,$.0K,,,--,--
RIGL,"Rigel Pharmaceuticals, Inc.",$450.1M,Health Care,Biotechnology,--,1.5
RIHC,Roine International Holding Corp,$26.7M,,,--,--
RIHT,RightsCorp Inc,$1.5M,Information Technology,Software,--,1.2
RILY,B. Riley Financial Inc,$596.6M,Financials,Capital Markets,4.36%,0.9
RINIF,RINNAI CORP ORD,$3.2B,,,--,0.7
RINO,RINO International Corporation,$57.2K,Industrials,Commercial Services & Supplies,--,--
RIO,Rio Tinto plc (ADR),$75.6B,Materials,Metals & Mining,6.22%,0.8
RIOT,Riot Blockchain Inc,$78.8M,Information Technology,Software,--,3.1
RITE,MineralRite Corp,$233.2K,Materials,Metals & Mining,--,9.6
RITT,R.T (LESHE`AVAR RIT TEHNOLOGIYOT) BE`AM,$543.9K,Information Technology,Communications Equipment,--,2.3
RIV,Rivernorth Opportunities Fund Inc,$138.3M,,,14.45%,0.7
RIVE,Riverview Financial Corporation,$61.0M,Financials,Banks,4.46%,0.9
RIVT,Riviera Tool Company,$.0K,,,--,--
RIVX,Rivex Technology Corp,$892.8K,,,--,--
RJDG,Rjd Green Inc,$4.1M,,,--,0
RJF,"Raymond James Financial, Inc.",$9.9B,Financials,Capital Markets,2.04%,1.4
RJKAF,RJK EXPLORATIONS LTD,$7.9M,Materials,Metals & Mining,--,2.6
RKDA,Arcadia Biosciences Inc,$36.6M,Consumer Staples,Food Products,--,-0.8
RKFL,Rocketfuel Blockchain Inc,$67.5M,Information Technology,Software,--,--
RKGXF,ROAD KING INFRASTRUCTURE LTD ORD,$1.0B,,,--,0.9
RKHNF,ROCKHAVEN RESOURCES LTD,$30.0M,Materials,Metals & Mining,--,0.7
RKIGF,REKO INTERNATIONAL GROUP INC,$14.4M,Industrials,Machinery,--,1.3
RKLC,Rockelle Corp.,$4.7K,,,--,--
RKLIF,RENTOKIL INITIAL PLC SHS,$12.8B,,,--,1
RKMSF,ROKMASTER RESOURCES CORP,$8.2M,Materials,Metals & Mining,--,3.3
RKNEF,OPTIVA INC,$117.0M,Information Technology,Software,--,1.5
RKTE,High Velocity Alternative Energy Corp,$146.2K,Materials,Chemicals,--,2.3
RKWBF,ROCKWOOL INTERNATIONAL AS SHS B,$3.1B,,,1.63%,1.3
RL,Ralph Lauren Corp,$5.2B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",--,1.3
RLAY,Relay Therapeutics Inc,$3.1B,,,--,--
RLBD,Real Brands Inc,$2.4M,Consumer Staples,Beverages,--,-6.4
RLBY,Reliability Incorporated,$36.0M,,,--,1.8
RLGHF,RHT HEALTH TR UNIT TR,$6.5M,,,--,4.6
RLGT,Radiant Logistics Inc,$205.0M,Industrials,Air Freight & Logistics,--,1.4
RLGY,Realogy Holdings Corp,$958.7M,Real Estate,Real Estate Management & Development,--,2.8
RLH,Red Lion Hotels Corporation,$58.3M,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,1.2
RLI,RLI Corp,$4.3B,Financials,Insurance,1.15%,0.3
RLJ,RLJ Lodging Trust,$1.4B,Real Estate,Equity Real Estate Investment Trusts (REITs),0.48%,1.7
RLJ-A,RLJ Lodging Trust,--,Real Estate,Equity Real Estate Investment Trusts (REITs),8.90%,--
RLLY,ARC Group Inc,$2.8M,Consumer Discretionary,"Hotels, Restaurants & Leisure",--,0.4
RLMD,Relmada Therapeutics Inc,$610.0M,Health Care,Pharmaceuticals,--,0.6
RLPHQ,4504020 Canada Inc,$62.8K,Industrials,Machinery,--,--
RLTOF,CALIMA ENERGY LTD ORD,$2.2M,,,--,1.6
RM,Regional Management Corp,$172.8M,Financials,Consumer Finance,--,1.3
RMAX,Re/Max Holdings Inc,$616.9M,Real Estate,Real Estate Management & Development,2.58%,1.6
RMBI,Richmond Mutual Bancorporation Inc,$152.6M,Financials,Banks,1.76%,--
RMBL,RumbleON Inc,$48.3M,Consumer Discretionary,Internet & Direct Marketing Retail,--,3.4
RMBS,Rambus Inc.,$1.7B,Information Technology,Semiconductors & Semiconductor Equipment,--,1
RMCF,"Rocky Mountain Chocolate Factory, Inc.",$23.8M,Consumer Staples,Food Products,12.12%,0.6
RMD,ResMed Inc.,$29.5B,Health Care,Health Care Equipment & Supplies,0.76%,0.5
RMDFF,RICHMOND MINERALS INC,$3.6M,Materials,Metals & Mining,--,0.2
RMDM,TechCom Inc (ADR),$4.4M,,,--,--
RMED,RA Medical Systems Inc,$14.1M,Health Care,Health Care Equipment & Supplies,--,--
RMES,Red Metal Resources Ltd,$2.3M,,,--,--
RMETF,RACKLA METALS INC COM NEW,$1.8M,Materials,Metals & Mining,--,1.8
RMG,RMG Acquisition Corp,$300.4M,,,--,--
RMG^,RMG ACQUISITION CORP,$253.0M,,,--,--
RMGGF,RESOLUTE MINING LTD SHS,$1.1B,,,--,0.7
RMGOF,REMGRO LTD SHS,$3.0B,,,5.24%,0.9
RMHB,Rocky Mountain High Brands Inc,$8.8M,,,--,1
RMI,Rivernorth Opprtnstc Mncpl Incme Fnd Inc,$135.1M,,,5.21%,--
RMIAF,AUTOMOTIVE FINCO CORP,$21.6M,Financials,Diversified Financial Services,15.88%,1
RMLS,Romulus Corp,--,,,--,--
RMNI,Rimini Street Inc,$358.0M,Information Technology,Software,--,--
RMNXF,RAINY MOUNTAIN ROYALTY CORP,$568.4K,Materials,Metals & Mining,--,2.1
RMPL-,RiverNorth Specialty Finance Corp,--,,,5.87%,--
RMR,RMR Group Inc,$952.4M,Real Estate,Real Estate Management & Development,5.05%,1.3
RMRDF,RESSOURCES MINIERES RADISSON,$43.7M,Materials,Metals & Mining,--,1.4
RMRI,RMR Industrials Inc,--,,,--,--
RMRK,Rimrock Gold Corp,$455.1K,,,--,0.7
RMSL,REMSleep Holdings Inc,$801.7K,Health Care,Health Care Equipment & Supplies,--,0.1
RMT,Royce Micro Capital Trust Inc.,$319.2M,,,8.50%,1.4
RMTD,Remote Dynamics Inc,$2.9M,Communication Services,Wireless Telecommunication Services,--,--
RMTI,Rockwell Medical Inc,$134.7M,Health Care,Health Care Equipment & Supplies,--,1.5
RNA,Avidity Biosciences Inc,$894.3M,,,--,--
RNBI,Bear Oil Co,$8.2K,Materials,Metals & Mining,--,--
RNDB,Randolph Bancorp Inc,$54.4M,Financials,Thrifts & Mortgage Finance,--,0.9
RNDXF,RANDGOLD & EXPL COM LTD SHS,$5.4M,,,--,0.2
RNET,RigNet Inc,$63.4M,Energy,Energy Equipment & Services,--,1.6
RNG,RingCentral Inc,$24.2B,Information Technology,Software,--,0.6
RNGR,Ranger Energy Services Inc,$46.2M,Energy,Energy Equipment & Services,--,--
RNLX,Renalytix AI PLC (ADR),$542.6M,,,--,--
